# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   21.943887776    1.609888131    1.609888808    1.609888840
   22.004008016    1.606778673    1.606779348    1.606779380
   22.064128257    1.603692613    1.603693286    1.603693318
   22.124248497    1.600629720    1.600630390    1.600630422
   22.184368737    1.597589765    1.597590432    1.597590464
   22.244488978    1.594572521    1.594573186    1.594573218
   22.304609218    1.591577766    1.591578428    1.591578461
   22.364729459    1.588605279    1.588605939    1.588605972
   22.424849699    1.585654843    1.585655500    1.585655533
   22.484969940    1.582726241    1.582726897    1.582726929
   22.545090180    1.579819262    1.579819915    1.579819948
   22.605210421    1.576933696    1.576934347    1.576934380
   22.665330661    1.574069335    1.574069983    1.574070016
   22.725450902    1.571225973    1.571226620    1.571226653
   22.785571142    1.568403409    1.568404053    1.568404087
   22.845691383    1.565601443    1.565602084    1.565602118
   22.905811623    1.562819875    1.562820515    1.562820548
   22.965931864    1.560058512    1.560059149    1.560059182
   23.026052104    1.557317159    1.557317794    1.557317828
   23.086172345    1.554595627    1.554596259    1.554596293
   23.146292585    1.551893725    1.551894356    1.551894389
   23.206412826    1.549211269    1.549211897    1.549211931
   23.266533066    1.546548073    1.546548699    1.546548733
   23.326653307    1.543903957    1.543904580    1.543904614
   23.386773547    1.541278739    1.541279360    1.541279394
   23.446893788    1.538672242    1.538672861    1.538672895
   23.507014028    1.536084290    1.536084907    1.536084942
   23.567134269    1.533514710    1.533515325    1.533515359
   23.627254509    1.530963330    1.530963943    1.530963977
   23.687374749    1.528429980    1.528430591    1.528430625
   23.747494990    1.525914492    1.525915101    1.525915135
   23.807615230    1.523416701    1.523417308    1.523417342
   23.867735471    1.520936443    1.520937047    1.520937082
   23.927855711    1.518473555    1.518474157    1.518474192
   23.987975952    1.516027877    1.516028477    1.516028512
   24.048096192    1.513599252    1.513599850    1.513599884
   24.108216433    1.511187521    1.511188118    1.511188152
   24.168336673    1.508792532    1.508793126    1.508793161
   24.228456914    1.506414130    1.506414722    1.506414757
   24.288577154    1.504052164    1.504052755    1.504052789
